date,ph
04/15/2016 07:53:00,7.9983
04/15/2016 07:58:01,7.9947
04/15/2016 08:03:02,7.9937
04/15/2016 08:08:03,7.993
04/15/2016 08:13:04,7.9899
04/15/2016 08:18:05,7.9887
04/15/2016 08:23:06,7.9838
04/15/2016 08:28:07,7.9836
04/15/2016 08:33:08,7.9821
04/15/2016 08:38:09,7.979
04/15/2016 08:43:10,7.9765
04/15/2016 08:48:11,7.9742
04/15/2016 08:53:12,7.9718
04/15/2016 08:58:13,7.9694
04/15/2016 09:03:14,7.9694
04/15/2016 09:08:15,7.9661
04/15/2016 09:13:16,7.9614
04/15/2016 09:18:17,7.9586
04/15/2016 09:23:18,7.9551
04/15/2016 09:28:19,7.9537
04/15/2016 09:33:20,7.9546
04/15/2016 09:38:21,7.9516
04/15/2016 09:43:22,7.9505
04/15/2016 09:48:23,7.9495
04/15/2016 09:53:24,7.9444
04/15/2016 09:58:25,7.9457
04/15/2016 10:03:26,7.9455
04/15/2016 10:08:27,7.9413
04/15/2016 10:13:28,7.9378
04/15/2016 10:18:30,7.9385
04/15/2016 10:23:31,7.9349
04/15/2016 10:28:31,7.9334
04/15/2016 10:33:32,7.9359
04/15/2016 10:38:34,7.9328
04/15/2016 10:43:35,7.9286
04/15/2016 10:48:36,7.928
04/15/2016 10:53:37,7.9255
04/15/2016 10:58:38,7.9256
04/15/2016 11:03:39,7.9233
04/15/2016 11:08:40,7.9226
04/15/2016 11:13:41,7.9173
04/15/2016 11:18:42,7.9161
04/15/2016 11:23:43,7.9126
04/15/2016 11:28:44,7.9132
04/15/2016 11:33:45,7.9118
04/15/2016 11:38:46,7.9098
04/15/2016 11:43:47,7.9083
04/15/2016 11:48:48,7.9044
04/15/2016 11:53:49,7.9002
04/15/2016 11:58:50,7.9005
04/15/2016 12:03:51,7.8966
04/15/2016 12:08:52,7.8973
04/15/2016 12:13:53,7.896
04/15/2016 12:18:54,7.893
04/15/2016 12:23:55,7.8905
04/15/2016 12:28:56,7.8888
04/15/2016 12:33:57,7.8883
04/15/2016 12:38:58,7.889
04/15/2016 12:43:59,7.8874
04/15/2016 12:49:00,7.8854
04/15/2016 12:54:01,7.8853
04/15/2016 12:59:02,7.885
04/15/2016 13:04:03,7.8862
04/15/2016 13:09:04,7.8844
04/15/2016 13:14:05,7.8848
04/15/2016 13:19:06,7.8832
04/15/2016 13:24:07,7.8838
04/15/2016 13:29:08,7.8858
04/15/2016 13:34:09,7.8872
04/15/2016 13:39:10,7.8894
04/15/2016 13:44:11,7.8874
04/15/2016 13:49:12,7.8871
04/15/2016 13:54:13,7.8872
04/15/2016 13:59:14,7.8878
04/15/2016 14:04:15,7.893
04/15/2016 14:09:16,7.8933
04/15/2016 14:14:17,7.8957
04/15/2016 14:19:18,7.8948
04/15/2016 14:24:19,7.8944
04/15/2016 14:29:20,7.8937
04/15/2016 14:34:21,7.8964
04/15/2016 14:39:22,7.8973
04/15/2016 14:44:23,7.8955
04/15/2016 14:49:24,7.897
04/15/2016 14:54:25,7.8935
04/15/2016 14:59:26,7.8957
04/15/2016 15:04:27,7.9018
04/15/2016 15:09:28,7.9051
04/15/2016 15:14:29,7.9057
04/15/2016 15:19:31,7.9037
04/15/2016 15:24:31,7.9047
04/15/2016 15:29:33,7.9135
04/15/2016 15:34:34,7.9192
04/15/2016 15:39:35,7.9226
04/15/2016 15:44:36,7.9245
04/15/2016 15:49:37,7.9267
04/15/2016 15:54:38,7.9311
04/15/2016 15:59:39,7.936
04/15/2016 16:04:40,7.942
04/15/2016 16:09:41,7.9441
04/15/2016 16:14:42,7.9478
04/15/2016 16:19:43,7.9511
04/15/2016 16:24:44,7.957
04/15/2016 16:29:45,7.961
04/15/2016 16:34:46,7.9668
04/15/2016 16:39:47,7.9713
04/15/2016 16:44:48,7.973
04/15/2016 16:49:49,7.973
04/15/2016 16:54:50,7.9781
04/15/2016 16:59:51,7.9869
04/15/2016 17:04:52,7.9909
04/15/2016 17:09:53,7.9966
04/15/2016 17:14:54,7.9976
04/15/2016 17:19:55,7.9983
04/15/2016 17:24:56,8.0041
04/15/2016 17:29:57,8.0108
04/15/2016 17:34:58,8.013
04/15/2016 17:39:59,8.0174
04/15/2016 17:45:00,8.0182
04/15/2016 17:50:01,8.0204
04/15/2016 17:55:02,8.0232
04/15/2016 18:00:03,8.0302
04/15/2016 18:05:04,8.036
